"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"WHO_Under5_Mortality_per_1000_live_births",-0.4154942471724295,0.23141591437774536,-1.795443707014069,0.07583099701256664
"WHO_Maternal_Mortality_per_100000_live_births",0.01823214279643332,0.21595341464225976,0.08442627696642813,0.9328989908742404
"WHO_Physician_Density_per_10000_population",-0.11295733535017878,0.09883061383426457,-1.1429387207854869,0.2559977997734461
"WHO_DTP3_Immunization_Coverage_pct",-0.20358471474435902,0.0822952757691369,-2.4738323414271752,0.015181357370619038
"WB_FY2026_Income_Group=Low income",-0.6087126319718216,0.10935809034391324,-5.566233189126843,2.5002314548644285e-07
"WB_FY2026_Income_Group=Lower middle income",-0.22416489928439506,0.07729008110051484,-2.9003061724423764,0.004652028069752454
"WB_FY2026_Income_Group=Missing",-0.20865179896351221,0.1287374142484935,-1.62075493112488,0.10845610120662749
"WB_FY2026_Income_Group=Upper middle income",-0.10590244219950255,0.06294646776337086,-1.6824207292712965,0.09584202603363745
"WB_FY2026_Lending_Category=IBRD",0.09299324737427422,0.0780207809106955,1.1919035709308854,0.23633170007245824
"WB_FY2026_Lending_Category=IDA",0.08328609618727072,0.06694639595379884,1.2440713947431652,0.21659977479585477
"WB_FY2026_Lending_Category=Missing",0.16438832613736368,0.10763008695403306,1.5273454736459617,0.1300691591632306
"GDP_per_capita_current_USD",-0.14653117685408204,0.3366816123793368,-0.4352217984776264,0.6644098116276157
"Life_expectancy_at_birth_years",0.08712287652141545,0.19393263020117588,0.44924299964909775,0.6543015602094188
"Internet_users_pct_population",0.0134342616027239,0.1168083280064031,0.11501116257727335,0.9086842302828214
"Urban_population_pct",-0.2635416050090939,0.09739543734520614,-2.705892721391076,0.008103897849800755
"GNI_per_capita_Atlas_current_USD",0.24156374767688996,0.30961228411275293,0.7802137062136675,0.43724635792278616
"Intercept",1.1160351418350523,0.18491455373636106,6.035409973334069,3.2082999549425625e-08
