Variable,Coeff.,Std. Err.,t-value,P>|t|
WHO_Under5_Mortality_per_1000_live_births,-0.02542980832371414,0.2367668858600078,-0.10740441270469689,0.9147627946909707
WHO_Maternal_Mortality_per_100000_live_births,0.06946442159687773,0.20871809573411745,0.33281456192168074,0.7402281718670196
WHO_Physician_Density_per_10000_population,-0.012340097686446387,0.11263927455664842,-0.1095541296321144,0.913063597193233
WHO_DTP3_Immunization_Coverage_pct,-0.04769594565132368,0.08774611287883967,-0.5435676189688597,0.5883952269875563
WB_FY2026_Income_Group=Low income,-0.20425652148193044,0.11578872752111644,-1.764044962361989,0.08190811703569228
WB_FY2026_Income_Group=Lower middle income,-0.040050888594630164,0.07768969711756829,-0.5155238092127057,0.607744809287258
WB_FY2026_Income_Group=Missing,-0.01471981252799095,0.1222186501900602,-0.12043834967167788,0.9044667875417539
WB_FY2026_Income_Group=Upper middle income,-0.0011177033457392524,0.059591582533375924,-0.01875606080964961,0.9850868763531293
WB_FY2026_Lending_Category=IBRD,0.06109046699774726,0.06975003418105566,0.8758485600045718,0.3839852632302706
WB_FY2026_Lending_Category=IDA,0.037012048092242227,0.060916467003294554,0.6075869122587247,0.5453469759981509
WB_FY2026_Lending_Category=Missing,0.19067861305798203,0.09972398353882601,1.91206374125382,0.05979238609114031
GDP_per_capita_current_USD,-0.28198214447937925,0.29835252432499476,-0.945130747987963,0.3477099785001356
Life_expectancy_at_birth_years,0.5425173380953633,0.1982366187869884,2.736716058894828,0.007788168484398567
Internet_users_pct_population,0.1257118170566181,0.12169370275772676,1.033018259842835,0.3050055918991592
Urban_population_pct,-0.26948798113867617,0.09326962639460593,-2.8893434181726443,0.005079216203958716
GNI_per_capita_Atlas_current_USD,0.22059721958112766,0.28347413511419006,0.7781917016600682,0.438971038348732
UN M49=Central America,0.08575190825226832,0.13466124125664147,0.636797251028154,0.5262488398608629
UN M49=Central Asia,-0.1776441489074372,0.14416737790954057,-1.2322076705792764,0.22182563663835392
UN M49=Eastern Africa,-0.05122862379278931,0.1324274320445689,-0.38684299017101037,0.6999978546056713
UN M49=Eastern Asia,-0.003667697268233043,0.12535109735608133,-0.029259394976131073,0.9767375567203285
UN M49=Eastern Europe,0.02315806543434971,0.13376062158280685,0.17313066551513673,0.8630278763908207
UN M49=Melanesia,0.2028336127151937,0.13999453193095643,1.4488681087574815,0.15165654435107237
UN M49=Micronesia,0.18697405115111687,0.17823177630782813,1.049050034872512,0.297615822794142
UN M49=Middle Africa,-0.2646521966988983,0.1494712180584139,-1.7705896836638557,0.08080374198367793
UN M49=Northern Africa,-0.2271393047554859,0.129383512072831,-1.7555506193681574,0.08336008102290617
UN M49=Northern America,-0.00791426189490974,0.14090575826483107,-0.05616705798520284,0.9553621723428887
UN M49=Northern Europe,-0.05318928649752255,0.13423205627577375,-0.39624876481253885,0.693077395426841
UN M49=Polynesia,0.0837427185401155,0.15360701793644224,0.5451750816148622,0.5872949684431603
UN M49=South America,0.03558250662630899,0.12329657481636183,0.28859282327433383,0.7737108791063027
UN M49=South-eastern Asia,0.1085428414051964,0.11614776522536088,0.9345237180809404,0.35311484626494455
UN M49=Southern Africa,0.01013250288698484,0.14405892812704288,0.07033582033908495,0.9441187009283284
UN M49=Southern Asia,-0.20459776011971137,0.12121484730327459,-1.687893559836083,0.09569998016495923
UN M49=Southern Europe,-0.07702610312113024,0.14750813981472766,-0.522182051904906,0.6031245942629097
UN M49=Western Africa,-0.008146033993811325,0.154921769248071,-0.05258159672038961,0.9582089058034465
UN M49=Western Asia,-0.15533035372931345,0.12410598231369997,-1.2515944101444547,0.2147134989235732
UN M49=Western Europe,-0.01577907583854668,0.135626149024068,-0.11634243066023021,0.907700630018431
Intercept,0.4649671889360759,0.2564624855691629,1.8130027395787809,0.07394234315558805
