"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"WHO_Under5_Mortality_per_1000_live_births",-0.2102076121903044,0.21105084247532155,-0.9960046106657179,0.3219787901086383
"WHO_Maternal_Mortality_per_100000_live_births",-0.04936606286759411,0.19379431353720541,-0.25473432097436965,0.7995226565778207
"WHO_Physician_Density_per_10000_population",-0.03931427373138151,0.10714747393468634,-0.3669174110007132,0.7145614483809186
"WHO_DTP3_Immunization_Coverage_pct",-0.1333081708759706,0.08365174615252376,-1.5936089443119021,0.11460931116212342
"WB_FY2026_Income_Group=Low income",-0.44228230986700423,0.10260245566411237,-4.3106405885147145,4.2316478063914274e-05
"WB_FY2026_Income_Group=Lower middle income",-0.17796925721943835,0.06992572881271639,-2.5451183740407957,0.012666461191469565
"WB_FY2026_Income_Group=Missing",-0.14839745598664056,0.11383610107395079,-1.3036062776802049,0.1957679697054813
"WB_FY2026_Income_Group=Upper middle income",-0.10390314683705149,0.05623139874477022,-1.8477780947377724,0.06799395285704692
"WB_FY2026_Lending_Category=IBRD",0.11727834159573694,0.06953620446451061,1.6865795667002879,0.09522646499850984
"WB_FY2026_Lending_Category=IDA",0.04814221830704919,0.059587813476726356,0.8079205377430478,0.4213149273846821
"WB_FY2026_Lending_Category=Missing",0.23107962803499818,0.09736064368065386,2.373439814068475,0.019799544429020002
"GDP_per_capita_current_USD",-0.0842869141136737,0.3031336466606126,-0.27805199139784387,0.7816246984016467
"Life_expectancy_at_birth_years",0.13536828096560372,0.18659787804171757,0.7254545570734706,0.47009805338638755
"Internet_users_pct_population",-0.010734519878428767,0.11067228590952558,-0.09699374861746526,0.9229519230797738
"Urban_population_pct",-0.23699142855448926,0.09363777881432031,-2.530938169992617,0.013153002410547685
"GNI_per_capita_Atlas_current_USD",0.1327010713762077,0.27592386720731954,0.4809336456440021,0.6317572665882962
"WHO_Region=Eastern Mediterranean Region",-0.0544785919646191,0.061966681265084186,-0.8791594265241968,0.3817092095925485
"WHO_Region=European Region",0.03191810270257943,0.07291191960878737,0.4377624793564295,0.6626310643583809
"WHO_Region=Region of the Americas",0.12191628994696244,0.06624568254012808,1.8403658211704905,0.06908515720229648
"WHO_Region=South-East Asia Region",0.08490018106562361,0.06476110670438656,1.3109748332925406,0.19327702696729757
"WHO_Region=Western Pacific Region",0.1979731433102403,0.058013681516099,3.412525082644549,0.0009745256917395624
"Intercept",0.8793525979510907,0.1779573962336735,4.94136583565442,3.670265167463614e-06
