Variable,is_region_variable,no_region_coef,no_region_p_value,un_m49_coef,un_m49_p_value,wb_coef,wb_p_value,who_coef,who_p_value,models_present_count,significant_count_p_lt_0_05,min_p_value,max_p_value,stability_class
Urban_population_pct,False,-0.2635416050090939,0.0081038978498007,-0.2794793668924856,0.0052616882776437,-0.2545198037274506,0.0061014558646527,-0.2369914285544892,0.0131530024105476,4,4,0.0052616882776437,0.0131530024105476,stable_significant
WB_FY2026_Income_Group=Low income,False,-0.6087126319718216,2.5002314548644285e-07,-0.1979742317917057,0.0714442461199191,-0.4067373263675993,5.4767219776550426e-05,-0.4422823098670042,4.2316478063914274e-05,4,3,2.5002314548644285e-07,0.0714442461199191,partly_stable
WB_FY2026_Income_Group=Lower middle income,False,-0.224164899284395,0.0046520280697524,-0.0389071313447129,0.5991925443363115,-0.1355314858479307,0.0461312472928245,-0.1779692572194383,0.0126664611914695,4,3,0.0046520280697524,0.5991925443363115,partly_stable
WB_FY2026_Lending_Category=Missing,False,0.1643883261373636,0.1300691591632306,0.2424734638185988,0.015581475575474,0.2243604838077035,0.0170614798727299,0.2310796280349981,0.01979954442902,4,3,0.015581475575474,0.1300691591632306,partly_stable
Life_expectancy_at_birth_years,False,0.0871228765214154,0.6543015602094188,0.4991642587173074,0.0127575984997729,0.2595418804281533,0.1671885609681077,0.1353682809656037,0.4700980533863875,4,1,0.0127575984997729,0.6543015602094188,specification_dependent
WHO_DTP3_Immunization_Coverage_pct,False,-0.203584714744359,0.015181357370619,-0.0355079053500931,0.6677768533835531,-0.096975507071717,0.2096753059825153,-0.1333081708759706,0.1146093111621234,4,1,0.015181357370619,0.6677768533835531,specification_dependent
WB_FY2026_Income_Group=Upper middle income,False,-0.1059024421995025,0.0958420260336374,-0.0147998485070509,0.7967108735871501,-0.0913666868837295,0.0889300911592955,-0.1039031468370514,0.0679939528570469,4,0,0.0679939528570469,0.7967108735871501,not_statistically_significant
WHO_Under5_Mortality_per_1000_live_births,False,-0.4154942471724295,0.0758309970125666,0.024542203410147,0.9163548387167147,-0.1943626244475923,0.3300676514085441,-0.2102076121903044,0.3219787901086383,4,0,0.0758309970125666,0.9163548387167147,not_statistically_significant
WB_FY2026_Lending_Category=IBRD,False,0.0929932473742742,0.2363317000724582,0.1035836097664803,0.1438759554238692,0.1113913402912498,0.0917544923102328,0.1172783415957369,0.0952264649985098,4,0,0.0917544923102328,0.2363317000724582,not_statistically_significant
WB_FY2026_Income_Group=Missing,False,-0.2086517989635122,0.1084561012066274,-0.0290006709309175,0.7943410968341249,-0.1242800063518511,0.2510652462001281,-0.1483974559866405,0.1957679697054813,4,0,0.1084561012066274,0.7943410968341249,not_statistically_significant
WB_FY2026_Lending_Category=IDA,False,0.0832860961872707,0.2165997747958547,0.0599972846178725,0.3012486745617442,0.0692221527631613,0.2266728794310341,0.0481422183070491,0.4213149273846821,4,0,0.2165997747958547,0.4213149273846821,not_statistically_significant
WHO_Physician_Density_per_10000_population,False,-0.1129573353501787,0.2559977997734461,-0.0139536600533541,0.9017508290324966,-0.0040783943570622,0.968020374070866,-0.0393142737313815,0.7145614483809186,4,0,0.2559977997734461,0.968020374070866,not_statistically_significant
Internet_users_pct_population,False,0.0134342616027239,0.9086842302828214,0.1135676602081748,0.355307970038636,0.0271198069381506,0.7941568478922205,-0.0107345198784287,0.9229519230797738,4,0,0.355307970038636,0.9229519230797738,not_statistically_significant
GNI_per_capita_Atlas_current_USD,False,0.2415637476768899,0.4372463579227861,0.1767785301864876,0.5223329035180508,0.154131357794588,0.5662587832847936,0.1327010713762077,0.6317572665882962,4,0,0.4372463579227861,0.6317572665882962,not_statistically_significant
GDP_per_capita_current_USD,False,-0.146531176854082,0.6644098116276157,-0.1922353452852781,0.4887566905037546,-0.1087212254957041,0.7076056129288223,-0.0842869141136737,0.7816246984016467,4,0,0.4887566905037546,0.7816246984016467,not_statistically_significant
WHO_Maternal_Mortality_per_100000_live_births,False,0.0182321427964333,0.9328989908742404,-0.0080883971007754,0.9689169603320088,-0.0366888139748236,0.8419323226356529,-0.0493660628675941,0.7995226565778207,4,0,0.7995226565778207,0.9689169603320088,not_statistically_significant
"WB_FY2026_Region=Middle East, North Africa, Afghanistan & Pakistan",True,,,,,-0.2695023018572248,8.193501345647462e-08,,,1,1,8.193501345647462e-08,8.193501345647462e-08,stable_significant
WB_FY2026_Region=Europe & Central Asia,True,,,,,-0.1845970602308649,0.0003688707526179,,,1,1,0.0003688707526179,0.0003688707526179,stable_significant
WB_FY2026_Region=South Asia,True,,,,,-0.2321903206301159,0.0005547839336415,,,1,1,0.0005547839336415,0.0005547839336415,stable_significant
WHO_Region=Western Pacific Region,True,,,,,,,0.1979731433102403,0.0009745256917395,1,1,0.0009745256917395,0.0009745256917395,stable_significant
WB_FY2026_Region=Sub-Saharan Africa,True,,,,,-0.1561273105019702,0.0041989445363114,,,1,1,0.0041989445363114,0.0041989445363114,stable_significant
UN M49=Northern Africa,True,,,-0.2537491573691645,0.0108616029783367,,,,,1,1,0.0108616029783367,0.0108616029783367,stable_significant
