un_m49,wb,who,no_region
"Chad (rate=0.000, delta=-0.032)","Chad (rate=0.000, delta=-0.133)","Chad (rate=0.000, delta=-0.151)","Chad (rate=0.000, delta=-0.073)"
"Afghanistan (rate=0.495, delta=-0.144)","Cameroon (rate=0.342, delta=-0.266)","Cameroon (rate=0.347, delta=-0.259)","Cameroon (rate=0.334, delta=-0.275)"
"Uzbekistan (rate=0.522, delta=-0.229)","Uzbekistan (rate=0.443, delta=-0.314)","Uzbekistan (rate=0.450, delta=-0.306)","Uzbekistan (rate=0.423, delta=-0.342)"
"Turkey (rate=0.597, delta=-0.237)","Turkey (rate=0.550, delta=-0.288)","Afghanistan (rate=0.517, delta=-0.132)","Afghanistan (rate=0.447, delta=-0.174)"
"Myanmar (rate=0.626, delta=-0.294)","Afghanistan (rate=0.615, delta=-0.088)","Turkey (rate=0.541, delta=-0.298)","Turkey (rate=0.516, delta=-0.330)"
"Cameroon (rate=0.642, delta=-0.077)","Myanmar (rate=0.619, delta=-0.304)","Algeria (rate=0.643, delta=-0.231)","Libya (rate=0.571, delta=-0.273)"
"Yemen (rate=0.704, delta=-0.105)","Tanzania (rate=0.710, delta=-0.173)","Nepal (rate=0.683, delta=-0.180)","Algeria (rate=0.587, delta=-0.293)"
"Tanzania (rate=0.719, delta=-0.166)","Algeria (rate=0.726, delta=-0.157)","Libya (rate=0.688, delta=-0.165)","Yemen (rate=0.610, delta=-0.160)"
"Algeria (rate=0.794, delta=-0.108)","Democratic Republic of Congo (rate=0.727, delta=-0.070)","Yemen (rate=0.718, delta=-0.098)","Tanzania (rate=0.645, delta=-0.233)"
"Ghana (rate=0.794, delta=-0.118)","Mongolia (rate=0.727, delta=-0.227)","Myanmar (rate=0.719, delta=-0.193)","Iraq (rate=0.650, delta=-0.256)"
"Ecuador (rate=0.802, delta=-0.176)","Libya (rate=0.749, delta=-0.122)","Mongolia (rate=0.726, delta=-0.228)","Nepal (rate=0.693, delta=-0.172)"
"Dominican Republic (rate=0.803, delta=-0.151)","Dominican Republic (rate=0.810, delta=-0.145)","Democratic Republic of Congo (rate=0.727, delta=-0.070)","Myanmar (rate=0.698, delta=-0.213)"
"Iraq (rate=0.835, delta=-0.094)","Ecuador (rate=0.814, delta=-0.163)","Tanzania (rate=0.759, delta=-0.135)","Iran (rate=0.730, delta=-0.197)"
"Vietnam (rate=0.851, delta=-0.143)","Nepal (rate=0.827, delta=-0.081)","India (rate=0.765, delta=-0.173)","Democratic Republic of Congo (rate=0.789, delta=-0.050)"
"Syria (rate=0.853, delta=-0.042)","Yemen (rate=0.842, delta=-0.047)","Iraq (rate=0.797, delta=-0.121)","Zimbabwe (rate=0.790, delta=-0.106)"
