un_m49,wb,who,no_region
"Democratic Republic of Congo (rate=2.375, delta=0.109)","Nigeria (rate=1.940, delta=0.204)","Rwanda (rate=1.852, delta=0.241)","Rwanda (rate=2.191, delta=0.285)"
"Sudan (rate=1.551, delta=0.127)","Rwanda (rate=1.601, delta=0.197)","Nigeria (rate=1.736, delta=0.178)","Timor Leste (rate=1.804, delta=0.437)"
"Nigeria (rate=1.392, delta=0.118)","Timor Leste (rate=1.410, delta=0.285)","Timor Leste (rate=1.642, delta=0.384)","Uganda (rate=1.774, delta=0.200)"
"Timor Leste (rate=1.346, delta=0.252)","Uganda (rate=1.364, delta=0.122)","Uganda (rate=1.508, delta=0.154)","Nigeria (rate=1.659, delta=0.167)"
"Kazakhstan (rate=1.269, delta=0.161)","Botswana (rate=1.242, delta=0.146)","Jordan (rate=1.247, delta=0.118)","Kiribati (rate=1.624, delta=0.299)"
"Jamaica (rate=1.198, delta=0.151)","Ukraine (rate=1.233, delta=0.162)","Botswana (rate=1.245, delta=0.148)","Laos (rate=1.360, delta=0.254)"
"Zambia (rate=1.195, delta=0.103)","Lebanon (rate=1.213, delta=0.122)","Kiribati (rate=1.240, delta=0.151)","Solomon Islands (rate=1.300, delta=0.222)"
"Lebanon (rate=1.184, delta=0.108)","Kiribati (rate=1.202, delta=0.131)","Zambia (rate=1.238, delta=0.121)","Malaysia (rate=1.287, delta=0.218)"
"China (rate=1.175, delta=0.144)","Laos (rate=1.196, delta=0.157)","Laos (rate=1.207, delta=0.165)","Fiji (rate=1.282, delta=0.175)"
"Bolivia (rate=1.171, delta=0.121)","Kuwait (rate=1.185, delta=0.154)","Kuwait (rate=1.203, delta=0.166)","Brazil (rate=1.276, delta=0.193)"
"Laos (rate=1.169, delta=0.139)","Jordan (rate=1.179, delta=0.090)","Indonesia (rate=1.198, delta=0.157)","Cambodia (rate=1.270, delta=0.195)"
"Sri Lanka (rate=1.164, delta=0.109)","Brazil (rate=1.176, delta=0.134)","Lebanon (rate=1.198, delta=0.115)","China (rate=1.240, delta=0.187)"
"Maldives (rate=1.154, delta=0.110)","Jamaica (rate=1.171, delta=0.134)","Ukraine (rate=1.198, delta=0.141)","Jamaica (rate=1.206, delta=0.157)"
"Oman (rate=1.146, delta=0.122)","Poland (rate=1.166, delta=0.143)","Brazil (rate=1.192, delta=0.143)","Philippines (rate=1.198, delta=0.138)"
"Rwanda (rate=1.144, delta=0.066)","Zambia (rate=1.165, delta=0.090)","Solomon Islands (rate=1.168, delta=0.139)","Mexico (rate=1.196, delta=0.151)"
